origin_policy,heldout_protocol,boundary,metric,pk_ssm_minus_tcn_bpm,ci_low_bpm,ci_high_bpm,wilcoxon_p,participants,pk_ssm_better_fraction,tcn_better_fraction,ties_fraction
evaluation_stride,AEROBIC,source_user,trajectory_mae_bpm,-0.3285232145261918,-0.8521439396170114,0.15736443505037628,0.3777303956449032,31,0.5806451612903226,0.41935483870967744,0.0
evaluation_stride,ANAEROBIC,joint_user_activity,mae_120s_bpm,-1.4122241117146437,-2.0100035538537657,-0.8794786309907229,4.6193599700927734e-06,31,0.8387096774193549,0.16129032258064516,0.0
evaluation_stride,ANAEROBIC,joint_user_activity,mae_30s_bpm,-0.032030515583741676,-0.2407919661650681,0.17472640010593246,0.8241792023181915,31,0.5161290322580645,0.4838709677419355,0.0
evaluation_stride,ANAEROBIC,joint_user_activity,mae_60s_bpm,-0.4421012599736365,-0.8457817889903558,-0.04501402265894351,0.045629615895450115,31,0.6451612903225806,0.3548387096774194,0.0
evaluation_stride,ANAEROBIC,joint_user_activity,trajectory_mae_bpm,-0.4926575014658581,-0.7641921918953436,-0.2253608395208381,0.0018533961847424507,31,0.7096774193548387,0.2903225806451613,0.0
evaluation_stride,ANAEROBIC,seen_user_activity,mae_120s_bpm,-1.4065120891526306,-2.11074544130705,-0.7400542305087962,0.0004513449966907501,29,0.7931034482758621,0.20689655172413793,0.0
evaluation_stride,ANAEROBIC,seen_user_activity,mae_30s_bpm,-0.0003365714519783801,-0.1840087861999999,0.1763182951079387,0.7332091443240643,29,0.3793103448275862,0.6206896551724138,0.0
evaluation_stride,ANAEROBIC,seen_user_activity,mae_60s_bpm,-0.48456141941932673,-0.826271807756754,-0.15002367482486137,0.013825550675392151,29,0.6896551724137931,0.3103448275862069,0.0
evaluation_stride,ANAEROBIC,seen_user_activity,trajectory_mae_bpm,-0.5757781234295908,-0.8661150565524002,-0.2964025578008943,0.0007359124720096588,29,0.7241379310344828,0.27586206896551724,0.0
evaluation_stride,ANAEROBIC,source_user,mae_120s_bpm,0.5285671912811993,-0.021852701867248452,1.129084819633197,0.10039735585451126,30,0.4,0.6,0.0
evaluation_stride,ANAEROBIC,source_user,mae_30s_bpm,0.4532560393703496,0.20641823457590905,0.7353240793233645,0.006639536470174789,30,0.36666666666666664,0.6333333333333333,0.0
evaluation_stride,ANAEROBIC,source_user,mae_60s_bpm,0.5228311247616476,0.13591174723222157,0.9209957858842687,0.02084985189139843,30,0.36666666666666664,0.6333333333333333,0.0
evaluation_stride,ANAEROBIC,source_user,trajectory_mae_bpm,0.5029797003735732,0.17759842797109485,0.8520857996021425,0.017453668639063835,30,0.36666666666666664,0.6333333333333333,0.0
tagged_events,AEROBIC,joint_user_activity,mae_120s_bpm,-1.1170233113122356,-2.003806816767133,-0.27932667845895226,0.015460003167390823,30,0.7333333333333333,0.26666666666666666,0.0
tagged_events,AEROBIC,joint_user_activity,mae_30s_bpm,0.8555726556213735,0.3518082716211096,1.4160846450238695,0.00466480478644371,30,0.26666666666666666,0.7333333333333333,0.0
tagged_events,AEROBIC,joint_user_activity,mae_60s_bpm,-0.1482372076191431,-0.8206149474181151,0.5110688869315304,0.9838335812091827,30,0.36666666666666664,0.6333333333333333,0.0
tagged_events,AEROBIC,joint_user_activity,trajectory_mae_bpm,-0.11909735466721726,-0.6380879326992455,0.3743134630159699,0.9515264742076397,30,0.5,0.5,0.0
tagged_events,AEROBIC,seen_user_activity,mae_120s_bpm,-0.7178648785922683,-1.3410942206830474,-0.10615117636052918,0.05622555688023567,29,0.6206896551724138,0.3793103448275862,0.0
tagged_events,AEROBIC,seen_user_activity,mae_30s_bpm,0.6323329226745387,0.29595034927644875,1.0086588759888533,0.0011698119342327118,29,0.2413793103448276,0.7586206896551724,0.0
tagged_events,AEROBIC,seen_user_activity,mae_60s_bpm,-0.14396220815616506,-0.5917815209369887,0.29895178302639186,0.5940011255443096,29,0.4827586206896552,0.5172413793103449,0.0
tagged_events,AEROBIC,seen_user_activity,trajectory_mae_bpm,-0.13866240105395142,-0.5118977174500806,0.24336357934066083,0.41691966354846954,29,0.5517241379310345,0.4482758620689655,0.0
tagged_events,AEROBIC,source_user,mae_120s_bpm,-1.3332722208141785,-2.3885575568707864,-0.3249999177043399,0.033809719607234,31,0.6129032258064516,0.3870967741935484,0.0
